L_check,L,log10_inv_probability,log10_pec_sample,log10_total_sample
1,1,0.002344544903112422,1.6566988126921543e-06,0.0023462195715877893
1,101,0.23679956264373025,0.0001672946732850189,0.23696686436047718
1,201,0.4712545797424726,0.00033292123052594286,0.47158748553674806
1,301,0.7057095648870549,0.0004985363595151721,0.7062081175179977
1,401,0.9401645882046338,0.0006641917420715064,0.9408287749408761
1,501,1.174619591518884,0.0008298356349670247,1.1754494204494617
1,601,1.4090745848798305,0.0009954680272580704,1.4100700665119217
1,701,1.6435295872721285,0.0011610889080176034,1.644690688113799
1,801,1.8779846062225536,0.0013266982663351838,1.8793112892435537
1,901,2.1124395951664,0.0014922960913169537,2.113931882680188
1,1001,2.3468946572889835,0.0016579855214301934,2.3485526290309666
1,1101,2.58134962138092,0.0018236117628108509,2.5831732349189
1,1201,2.8158046209323566,0.0019892263989846276,2.817793828423639
1,1301,3.050259649717597,0.0021548809348445343,3.052414551786333
1,1401,3.2847145960602884,0.0023204723085791233,3.287035076636663
1,1501,3.5191696247336766,0.0024861035211815154,3.52165572001308
1,1601,3.7536246693951196,0.0026517230462324804,3.7562763894126387
1,1701,3.9880796313195495,0.0028173823101919184,3.990897001716836
1,1801,4.222534686093592,0.002982978408421137,4.225517654304765
1,1901,4.456989678654364,0.0031486141849838447,4.460138290659075
1,2001,4.691444663025349,0.003314289570427809,4.694758950071509
1,2101,4.925899655101678,0.0034798504190884576,4.929379486152569
1,2201,5.160354691929979,0.003645450855413439,5.164000127186364
1,2301,5.394809678378171,0.0038110908100792615,5.398620774304483
1,2401,5.62926469834307,0.003976770213813686,5.63324146477814
1,2501,5.863719709215695,0.004142386436461329,5.867862084876442
1,2601,6.098174730902283,0.0043080420480370975,6.102482758290907
1,2701,6.332629716449462,0.004473634496667386,6.337103343444793
1,2801,6.567084769989777,0.004639266274185622,6.571724026028117
1,2901,6.801539771474083,0.004804886109238526,6.8063446692914695
1,3001,7.0359947730337575,0.00497059635696756,7.040965366117047
10,1,0.002344544903112422,1.6566988126921543e-06,0.0023462195715877893
10,101,0.23487280937746532,0.004808982274440736,0.2396818000714075
10,201,0.4674010903518359,0.009616393833362555,0.47701749136384025
10,301,0.699929322799858,0.014423759917200149,0.7143530920706639
10,401,0.9324576758104202,0.019231047474887054,0.9516887106215405
10,501,1.1649859364021022,0.024038463486709346,1.18902441175822
10,601,1.3975142411852555,0.02884576349359487,1.4263600035772
10,701,1.6300425023048906,0.03365323435833347,1.6636957360361968
10,801,1.8625708039166369,0.03846052802344212,1.9010313434814983
10,901,2.0950991262531153,0.0432678207446224,2.1383669373053578
10,1001,2.3276273689711826,0.04807522842025908,2.375702591793277
10,1101,2.5601556267967958,0.05288262628591648,2.613038251620246
10,1201,2.79268394190412,0.05768997927389309,2.8503739366447807
10,1301,3.025212243584601,0.0624973371556044,3.087709599796655
10,1401,3.2577405062564346,0.06730465248675961,3.325045143225113
10,1501,3.490268754414988,0.07211209278736687,3.562380845028473
10,1601,3.722797072795532,0.07691937816857594,3.7997164359981372
10,1701,3.9553253668273896,0.08172679218245851,4.037052142079347
10,1801,4.187853621085522,0.08653413302098055,4.2743877583709144
10,1901,4.4203818504297985,0.0913414949556575,4.511723342008782
10,2001,4.652910234648603,0.09614883731147747,4.7490590742110035
10,2101,4.885438449595004,0.10095619687842207,4.986394641047069
10,2201,5.117966769079576,0.10576352129944486,5.22373027960838
10,2301,5.350495077993409,0.1105709548078848,5.461066024162335
10,2401,5.583023405550241,0.11537831138819946,5.698401711214773
10,2501,5.815551643043462,0.12018564229631713,5.935737294061755
10,2601,6.048079925017064,0.12499302903308591,6.17307294357448
10,2701,6.280608153929762,0.12980038956468778,6.4104085590950355
10,2801,6.513136451687248,0.1346077529734152,6.6477441939401105
10,2901,6.74566475012369,0.13941506559013134,6.885079827079633
10,3001,6.978193009139525,0.14422249258450076,7.122415509514606
30,1,0.002344544903112422,1.6566988126921543e-06,0.0023462195715877893
30,101,0.2308429369482462,0.013702951097507538,0.2445458965092819
30,201,0.4589020827557176,0.028397755683370704,0.4872998239897226
30,301,0.6866409942537943,0.043785250637648473,0.7304262406216397
30,401,0.9151393611991177,0.05748657250532644,0.9726259531126504
30,501,1.1431985091088557,0.07218137229060968,1.2153798642915634
30,601,1.3709374109229844,0.087568898191307,1.4585063013742714
30,701,1.599435811401805,0.10127019453068614,1.7007060008795827
30,801,1.8274949715017048,0.11596501701166688,1.9434599992810948
30,901,2.0552338812810897,0.13135252584351517,2.1865864124243837
30,1001,2.283732236790907,0.1450538384536976,2.428786056972844
30,1101,2.511791353793138,0.159748609808229,2.6715399737293586
30,1201,2.739530297864636,0.17513615634322616,2.914666450812112
30,1301,2.9680286873550163,0.188837450778799,3.156866124229649
30,1401,3.19608777022698,0.20353227138130012,3.399620027817263
30,1501,3.4238267312561237,0.21891978616733954,3.6427465284016023
30,1601,3.652325118567883,0.23262108093824402,3.8849462112426636
30,1701,3.880384238670503,0.24731587503429903,4.127700114472146
30,1801,4.108123176501578,0.2627033794487852,4.370826572680115
30,1901,4.3366215429859265,0.27640468364425413,4.613026217756212
30,2001,4.564680689571184,0.29109952514925674,4.855780195244062
30,2101,4.792419571755172,0.30648701650523724,5.098906591227008
30,2201,5.020917992258426,0.3201883278428773,5.341106330197397
30,2301,5.248977124496867,0.3348831193525842,5.5838602359789755
30,2401,5.47671600896805,0.3502706698147156,5.826986673384235
30,2501,5.705214423098425,0.36397198223077587,6.069186415937906
30,2601,5.933273522816584,0.37866674758369245,6.3119402763739805
30,2701,6.161012483933369,0.3940543198300654,6.555066805278209
30,2801,6.389510857175713,0.4077555775210364,6.797266432581821
30,2901,6.6175699664218826,0.422450413452854,7.040020399234179
30,3001,6.845308861855426,0.43783792541127026,7.283146800514586
50,1,0.002344544903112422,1.6566988126921543e-06,0.0023462195715877893
50,101,0.22582771629915976,0.02481573445326131,0.25064345880493505
50,201,0.4493108791341898,0.049629785952835875,0.4989406753452884
50,301,0.672794081684963,0.0744438408653148,0.7472379275499765
50,401,0.896277242816197,0.09925791124818736,0.995535136680825
50,501,1.1197604646278259,0.12407199959699029,1.2438324439821176
50,601,1.343243617545382,0.14888605544251898,1.4921296706880915
50,701,1.566726814006084,0.17370010759648655,1.7404269346568002
50,801,1.7902099729372174,0.19851421091965887,1.9887241942191636
50,901,2.013693181501422,0.2233282707596229,2.237021455720182
50,1001,2.237176345192677,0.2481423211842049,2.485318650359265
50,1101,2.4606595238704534,0.27295637311945226,2.733615887341972
50,1201,2.684142720223856,0.2977704772781969,2.981913210269304
50,1301,2.9076258899197054,0.3225845326467378,3.2302104155548124
50,1401,3.1311090416492213,0.3473986327254383,3.478507664929335
50,1501,3.3545922395520757,0.37221263132533833,3.7268048637961435
50,1601,3.5780754095850726,0.39702674474931915,3.9751021747124624
50,1701,3.801558613312002,0.42184081456218964,4.223399445821556
50,1801,4.025041804000452,0.44665487917047875,4.471696695954148
50,1901,4.248524985326631,0.47146889444725393,4.719993891019383
50,2001,4.472008148144707,0.49628298847585123,4.968291151185196
