L_check,L,log10_inv_probability,log10_pec_sample,log10_total_sample
700,1,0.002344544903112422,1.6566988126921543e-06,0.0023462195715877893
700,101,0.21304831198368981,0.05306698753140787,0.26611531012250156
700,201,0.3703217813168687,0.22240692712475993,0.5927287206329761
700,301,0.47397258913673174,0.503239351307519,0.9772119498657682
700,401,0.5350268251133286,0.8648909819727977,1.399917808504092
700,501,0.5681531867058993,1.2696481848583165,1.837801368551519
700,601,0.5852320619498919,1.6879320364582655,2.2731641019657527
700,701,0.5960769013021812,2.097797336750177,2.693874242979858
700,801,0.8067806952144974,2.1508626431301714,2.957643349425811
700,901,0.9640541461693041,2.3202025944740323,3.284256728931687
700,1001,1.0677049758818205,2.6010350071886696,3.668739990839364
700,1101,1.1287592017251078,2.9626866416560595,4.09144584603129
700,1201,1.1618855396313323,3.3674438751725018,4.529329427165999
700,1301,1.1789644519924418,3.7857276957315777,4.964692132514297
700,1401,1.189809319751994,4.1955929922545305,5.385402315070937
700,1501,1.400513086995448,4.248658307636313,5.649171389353481
700,1601,1.557786539192843,4.417998282850404,5.975784816500822
700,1701,1.661437351336609,4.698830702400025,6.360268044146269
700,1801,1.7224915743335425,5.060482321356734,6.7829738875694305
700,1901,1.7556179608505018,5.465239534793615,7.220857488600823
700,2001,1.7726968113867527,5.88352338988835,7.656220209159598
700,2101,1.7835416760080551,6.29338866132405,8.076930323110547
700,2201,1.9942454684888165,6.346454004635264,8.34069946044114
700,2301,2.1515189240602304,6.515793928822994,8.667312850243253
700,2401,2.255169743496125,6.7966263621802305,9.051796119870321
700,2501,2.3162239863210283,7.158277977404471,9.474501953346499
700,2601,2.349350347666927,7.56303517073729,9.912385508459135
700,2701,2.366429201856257,7.981319048870644,10.347748235632299
700,2801,2.3772740562648744,8.391184341791496,10.768458398562808
700,2901,2.587977839619757,8.444249659601093,11.032227507559977
700,3001,2.745251323650157,8.613589600020944,11.358840918218128
800,1,0.002344544903112422,1.6566988126921543e-06,0.0023462195715877893
800,101,0.21304831198368981,0.05306698753140787,0.26611531012250156
800,201,0.3703217813168687,0.22240692712475993,0.5927287206329761
800,301,0.47397258913673174,0.503239351307519,0.9772119498657682
800,401,0.5350268251133286,0.8648909819727977,1.399917808504092
800,501,0.5681531867058993,1.2696481848583165,1.837801368551519
800,601,0.5852320619498919,1.6879320364582655,2.2731641019657527
800,701,0.5937912437529546,2.1018755856443967,2.695666840259743
800,801,0.6003328496856372,2.498603843505352,3.098936706130278
800,901,0.8110366464751908,2.5516691857509457,3.3627058419687894
800,1001,0.968310094781358,2.7210091263293137,3.6893192233816974
800,1101,1.0719609259090903,3.0018415500580335,4.073802485320203
800,1201,1.1330151370240638,3.36349317452609,4.496508299551389
800,1301,1.1661415249965268,3.7682503717227784,4.934391916093725
800,1401,1.1832203776056016,4.186534248354705,5.369754621275251
800,1501,1.1917795620128484,4.600477790664043,5.792257352648069
800,1601,1.1983212202280726,4.9972060850015305,6.195527299694912
800,1701,1.4090249985312049,5.050271398743564,6.459296381932342
800,1801,1.5662984397476345,5.219611333182972,6.7859097647393565
800,1901,1.6699492474716617,5.500443775564369,7.17039301093871
800,2001,1.731003471284023,5.862095397896802,7.59309888121757
800,2101,1.7641298500980367,6.266852610153524,8.030982444779164
800,2201,1.7812087272869581,6.685136438787773,8.466345180518788
800,2301,1.7897679099958204,7.099079981236663,8.888847889448305
800,2401,1.7963095015039463,7.4958082750721475,9.29211778416025
800,2501,2.007013268394079,7.5488735922717245,9.555886861627352
800,2601,2.1642867549279283,7.718213547278965,9.88250029784055
800,2701,2.2679375698277897,7.999045971827693,10.26698355408961
800,2801,2.3289917919360126,8.360697601451683,10.689689401042443
800,2901,2.362118142825544,8.765454772650552,11.127572923165788
800,3001,2.379197027131821,9.183738640003973,11.562935666357475
900,1,0.002344544903112422,1.6566988126921543e-06,0.0023462195715877893
900,101,0.21304831198368981,0.05306698753140787,0.26611531012250156
900,201,0.3703217813168687,0.22240692712475993,0.5927287206329761
900,301,0.47397258913673174,0.503239351307519,0.9772119498657682
900,401,0.5350268251133286,0.8648909819727977,1.399917808504092
900,501,0.5681531867058993,1.2696481848583165,1.837801368551519
900,601,0.5852320619498919,1.6879320364582655,2.2731641019657527
900,701,0.5937912437529546,2.1018755856443967,2.695666840259743
900,801,0.598016895236974,2.5025298441960517,3.100546719357074
900,901,0.6024185564250668,2.8826003705036234,3.4850189193945567
900,1001,0.8131223260885326,2.935665696046844,3.748788038995715
900,1101,0.9703957907806144,3.1050056098799677,4.075401383337196
900,1201,1.0740466015022034,3.3858380354860174,4.459884624817079
900,1301,1.1351008333483084,3.747489681900782,4.882590523789056
900,1401,1.1682272008081342,4.15224688658754,5.320474091064736
900,1501,1.1853060742214874,4.570530717881004,5.755836805618515
900,1601,1.1938652576296094,4.984474289051383,6.1783395624937505
900,1701,1.1980908867748732,5.385128543922943,6.583219439317503
900,1801,1.2024925819884609,5.765199088007536,6.967691672093978
900,1901,1.4131963315396339,5.818264379442056,7.231460720945764
900,2001,1.5704698142952047,5.9876043500921305,7.558074181443001
900,2101,1.6741206394910695,6.26843676227266,7.942557408082741
900,2201,1.7351748694008813,6.63008839260015,8.36526326173189
900,2301,1.7683012400571934,7.034845589678568,8.803146847567362
900,2401,1.785380095526454,7.453129442040655,9.238509531666626
900,2501,1.7939393021027366,7.86707301415643,9.66101229251178
900,2601,1.798164922672725,8.267727269869113,10.065892209458932
900,2701,1.8025666113037697,8.647797785318652,10.450364396291095
900,2801,2.0132703697009178,8.700863120679482,10.714133477338653
900,2901,2.1705438330138898,8.870203039193376,11.040746883688337
900,3001,2.2741946299284908,9.151035496878205,11.42523011354714
1000,1,0.002344544903112422,1.6566988126921543e-06,0.0023462195715877893
1000,101,0.21304831198368981,0.05306698753140787,0.26611531012250156
1000,201,0.3703217813168687,0.22240692712475993,0.5927287206329761
1000,301,0.47397258913673174,0.503239351307519,0.9772119498657682
1000,401,0.5350268251133286,0.8648909819727977,1.399917808504092
1000,501,0.5681531867058993,1.2696481848583165,1.837801368551519
1000,601,0.5852320619498919,1.6879320364582655,2.2731641019657527
1000,701,0.5937912437529546,2.1018755856443967,2.695666840259743
1000,801,0.598016895236974,2.5025298441960517,3.100546719357074
1000,901,0.6000885965242864,2.886351522687702,3.486440130319921
1000,1001,0.6034377288277241,3.248988638294761,3.852426380196468
1000,1101,0.8141415137534496,3.302053981218848,4.116195494689874
1000,1201,0.9714149728944168,3.471393930972669,4.442808892846281
1000,1301,1.0750657826941263,3.752226352310321,4.827292117534281
1000,1401,1.1361200246004879,4.113877968318095,5.249998007136568
1000,1501,1.1692463819230587,4.518635194336911,5.687881570826267
1000,1601,1.186325234268387,4.936919015792295,6.123244265418618
1000,1701,1.194884453552881,5.3508625813661315,6.545747034337312
1000,1801,1.1991100797078218,5.751516832460787,6.950626909993589
1000,1901,1.2011817912483471,6.135338534512121,7.33652033071257
1000,2001,1.2045309096624006,6.497975638787499,7.7025065313305
1000,2101,1.4152346742422486,6.551040976945933,7.966275653202129
1000,2201,1.5725081354352606,6.720380902492077,8.292889041661907
