L_check,L,log10_inv_probability,log10_pec_sample,log10_total_sample
10,1001,2.327627110963323,0.047364708170998276,2.3749918199295195
10,2001,4.652909701785428,0.09443598461238836,4.747345674184321
10,3001,6.978192275458705,0.1412170894875777,7.1194093502796685
100,1001,2.114289156197891,0.5069120870562493,2.6212012346362115
100,2001,4.226233735078576,0.9910918790066322,5.217325619954967
100,3001,6.338178353865332,1.4589990614852264,7.79717740325091
500,1001,1.1381793100045359,2.431620513871698,3.5697998169564347
500,2001,2.274014019094714,4.638950255087477,6.912964267511711
500,3001,3.409848803526359,6.776156231137604,10.18600504311945
